key,scroll,segment,recipe,windows,max_score,mean_score,best_y0,best_x0,window_px,ci_hi
PHerc0172/segments/20251211095724-w056_20251211095724922_flatboi/ink-detection/downsampled/PHerc0172-20251211095724-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211095724-w056_20251211095724922_flatboi,other,20,0.812,0.6756,0,4960,2488,0.1611
PHerc0172/segments/20251210142414-w059_20251210142414060_flatboi/ink-detection/downsampled/PHerc0172-20251210142414-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251210142414-w059_20251210142414060_flatboi,other,20,0.8671,0.6754,4960,3720,2488,0.1611
PHerc0172/segments/20251211111451-w055_20251211111451620_flatboi/ink-detection/downsampled/PHerc0172-20251211111451-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251211111451-w055_20251211111451620_flatboi,other,20,0.8502,0.6752,2480,3720,2488,0.1611
PHerc0172/segments/20251210153304-w058_20251210153304503_flatboi/ink-detection/downsampled/PHerc0172-20251210153304-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251210153304-w058_20251210153304503_flatboi,other,20,0.8502,0.675,3720,4960,2488,0.1611
PHerc0172/segments/20250926113336-w079_20250926113336891_flatboi/ink-detection/downsampled/PHerc0172-20250926113336-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926113336-w079_20250926113336891_flatboi,other,24,0.8966,0.6735,8680,6200,2488,0.138
PHercParis4/segments/20260623150417-w064-068/ink-detection/downsampled/PHercParis4-20260623150417-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623150417-w064-068,1um_s1z2,42,0.8756,0.6695,43520,17408,8704,0.0838
PHerc0172/segments/20251115002748-auto_grown_20251115002740308_8_flatboi/ink-detection/downsampled/PHerc0172-20251115002748-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251115002748-auto_grown_20251115002740308_8_flatboi,other,72,0.8614,0.6694,7440,4960,2488,0.0507
PHerc0172/segments/20251113021010-w072_20251113021010674_flatboi/ink-detection/downsampled/PHerc0172-20251113021010-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113021010-w072_20251113021010674_flatboi,other,30,0.8767,0.6681,8680,3720,2488,0.1135
PHerc0172/segments/20250926122938-w082_20250926122938619_flatboi/ink-detection/downsampled/PHerc0172-20250926122938-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926122938-w082_20250926122938619_flatboi,other,22,0.8321,0.6679,6200,7440,2488,0.1487
PHerc0172/segments/20251115002745-auto_grown_20251115002740308_5_flatboi/ink-detection/downsampled/PHerc0172-20251115002745-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251115002745-auto_grown_20251115002740308_5_flatboi,other,115,0.8562,0.6644,7440,8680,2488,0.0323
PHerc0172/segments/20250926113336-w079_20250926113336891_flatboi/ink-detection/downsampled/PHerc0172-20250926113336-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20250926113336-w079_20250926113336891_flatboi,other,24,0.9005,0.664,7440,9920,2488,0.138
PHerc0172/segments/20251113152136-w074_20251113152136889_flatboi/ink-detection/downsampled/PHerc0172-20251113152136-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113152136-w074_20251113152136889_flatboi,other,30,0.8768,0.6629,3720,8680,2488,0.1135
PHerc0172/segments/20251207123912-w060_20251207123912611_flatboi/ink-detection/downsampled/PHerc0172-20251207123912-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251207123912-w060_20251207123912611_flatboi,other,20,0.8791,0.6627,6200,7440,2488,0.1611
PHerc0172/segments/20251115002742-auto_grown_20251115002740308_2_flatboi/ink-detection/downsampled/PHerc0172-20251115002742-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251115002742-auto_grown_20251115002740308_2_flatboi,other,107,0.8983,0.6587,7440,33480,2488,0.0347
