scroll,segment,recipe,windows,n_text,pct_text,mean_score,max_score,best_y0,best_x0
PHerc0172,20251115002743-auto_grown_20251115002740308_3_flatboi,other,770,1,0.0013,0.6142,0.9004,8680,35960
PHerc0172,20251115002741-auto_grown_20251115002740308_1_flatboi,other,752,1,0.0013,0.6081,0.926,8680,33480
PHerc0172,20251115002744-auto_grown_20251115002740308_4_flatboi,other,788,1,0.0013,0.5823,0.901,11160,23560
PHerc0500P2,20250628074500-500P2_front,canon,5,0,0.0,0.8433,0.8983,13320,4440
PHerc0500P2,20250716055229-z_dbg_gen_00371_inp_hr,canon,2,0,0.0,0.8354,0.8502,4440,0
PHerc0139,20260422000000-title_2026042222_zmid_flatboi,canon,4,0,0.0,0.8338,0.8565,0,0
PHerc0814,20250930083742-auto_grown_20250930083742882,canon,3,0,0.0,0.8026,0.8363,4096,8192
PHerc0500P2,20250611171745-z_dbg_gen_00225_inp_hr,canon,2,0,0.0,0.7988,0.8485,4440,0
PHerc0139,20260126000000-w045_2026012619,canon,24,0,0.0,0.789,0.8844,8192,12288
PHerc1667,20251223230000-w031_2025122323_flatboi,canon,29,0,0.0,0.7833,0.8983,20480,8192
PHerc0139,20260219000000-w033_2026021913,1um_s1z2,6,0,0.0,0.7813,0.7883,8704,8704
PHerc0139,20260310000000-w037_2026031015,1um_s1z2,5,0,0.0,0.7804,0.8792,4352,0
PHerc0814,20250925204843-auto_grown_20250925204843950,canon,5,0,0.0,0.7795,0.8434,8192,106496
PHerc0500P2,20250716055228-z_dbg_gen_00333_inp_hr,canon,1,0,0.0,0.7794,0.7794,0,0
PHerc0814,20250925222237-auto_grown_20250925222237459,canon,5,0,0.0,0.7747,0.8579,0,0
PHerc0139,20260325000000-w046_20260325,canon,24,0,0.0,0.7743,0.8986,8192,8192
PHerc0500P2,20250716055231-z_dbg_gen_00473_inp_hr,canon,4,0,0.0,0.7741,0.8367,13320,4440
PHerc0139,20260206000001-w047_2026020613,1um_s1z2,7,0,0.0,0.7731,0.8375,4352,4352
PHerc1667,20260123230000-w037_2026012323_flatboi,canon,5,0,0.0,0.7701,0.8137,16384,0
PHerc0814,20250928235953-auto_grown_20250928235953722,1um_s1z2,6,0,0.0,0.7622,0.8662,4352,182784
PHerc0814,20250926051122-auto_grown_20250926051122829,canon,12,0,0.0,0.7597,0.8984,4096,81920
PHerc0139,20250831000000-w040_2025083102,1um_s1z2,11,0,0.0,0.7595,0.8123,4352,4352
PHerc0500P2,20250611132918-z_dbg_gen_00302_inp_hr,canon,4,0,0.0,0.7581,0.8433,8880,4440
PHerc0139,20260206000000-w042_2026020613,canon,24,0,0.0,0.7572,0.8714,12288,12288
PHercParis4,20260603222816-20231005123336_v2_flatboi,1um_s1z2,38,0,0.0,0.7553,0.8983,34816,0
PHerc0139,20260115000000-w044_2026011522,1um_s1z2,8,0,0.0,0.755,0.8101,8704,13056
PHerc0139,20260317000000-w035_2026031718,canon,12,0,0.0,0.7525,0.801,0,8192
PHerc0343P,20250511003658-tifxyz,canon,2,0,0.0,0.7446,0.7782,0,0
PHerc0139,20260108000000-w041_2026010816,canon,24,0,0.0,0.743,0.8712,12288,12288
PHerc0139,20260325000000-w046_20260325,1um_s1z2,6,0,0.0,0.7429,0.85,4352,8704
PHerc1667,20260119120000-w036_2026011912_flatboi,canon,14,0,0.0,0.7408,0.8973,20480,4096
PHerc1667,20251220020000-w030_2025122002_flatboi,canon,37,0,0.0,0.7403,0.8842,4096,16384
PHerc0814,20250929040153-auto_grown_20250929040153260,canon,2,0,0.0,0.7392,0.8633,4096,0
PHerc0139,20260303000000-w034_2026030317,canon,29,0,0.0,0.7355,0.8974,8192,20480
PHerc0139,20260306000000-w038_2026030608,1um_s1z2,8,0,0.0,0.733,0.795,8704,8704
PHerc0814,20250926165636-auto_trace_20250926165636789,canon,10,0,0.0,0.7319,0.8692,8192,8192
PHerc0139,20250831000000-w040_2025083102,canon,30,0,0.0,0.7298,0.8904,8192,8192
PHerc0139,20260311000000-w023_202603112281,1um_s1z2,5,0,0.0,0.7289,0.8903,8704,0
PHerc1667,20260105050000-w032_2026010505_flatboi,canon,34,0,0.0,0.7268,0.8856,20480,16384
PHerc0139,20260126000000-w045_2026012619,1um_s1z2,6,0,0.0,0.725,0.8443,4352,8704
PHerc1667,20251212185248-w029_20251212185248662_flatboi,canon,39,0,0.0,0.724,0.8948,0,12288
PHerc1667,20260105050000-w032_2026010505_flatboi,1um_s1z2,9,0,0.0,0.7197,0.8051,21760,17408
PHercParis4,20260623151729-w073-076,1um_s1z2,114,0,0.0,0.718,0.867,17408,60928
PHerc0139,20260112000000-w043_2026011217,1um_s1z2,9,0,0.0,0.7142,0.8693,4352,0
PHercParis4,20260623152443-w077-080,1um_s1z2,139,0,0.0,0.7089,0.8373,39168,156672
PHerc0172,20251210153304-w058_20251210153304503_flatboi,other,126,0,0.0,0.7083,0.8777,1240,3720
PHerc0139,20260318000000-w049_20260318,1um_s1z2,7,0,0.0,0.7082,0.8646,4352,4352
PHerc0139,20260210000000-w058_2026021020,1um_s1z2,16,0,0.0,0.7071,0.8354,8704,4352
PHerc0139,20260108000000-w041_2026010816,1um_s1z2,10,0,0.0,0.7059,0.8705,4352,0
PHerc1667,20260115160000-w034_2026011516_flatboi,canon,18,0,0.0,0.7056,0.8688,20480,16384
PHerc0172,20250926122938-w082_20250926122938619_flatboi,other,130,0,0.0,0.7038,0.8778,7440,0
PHercParis4,20260623153216-w081-084,1um_s1z2,143,0,0.0,0.6997,0.8708,39168,178432
PHerc0172,20251107175958-w061_20251107175958270_flatboi,other,144,0,0.0,0.6984,0.8885,6200,4960
PHerc0172,20250917143559-w062_20250917143559205_flatboi,other,170,0,0.0,0.697,0.8754,9920,2480
PHerc0139,20260206000000-w042_2026020613,1um_s1z2,6,0,0.0,0.6952,0.7485,4352,0
PHercParis4,20260623154617-w089-091,1um_s1z2,117,0,0.0,0.6952,0.8682,43520,91392
PHerc0500P2,20250611154256-z_dbg_gen_00354_inp_hr,canon,4,0,0.0,0.6949,0.7616,8880,4440
PHercParis4,20260623151041-w069-072,1um_s1z2,114,0,0.0,0.694,0.8473,17408,60928
PHercParis4,20260623150417-w064-068,1um_s1z2,156,0,0.0,0.6929,0.8756,43520,17408
PHerc1667,20260128140000-w038_2026012814_flatboi,canon,8,0,0.0,0.689,0.817,20480,24576
PHerc0500P2,20250611134135-z_dbg_gen_00331_inp_hr,canon,4,0,0.0,0.6865,0.7422,8880,4440
PHerc0500P2,20250716055234-z_dbg_gen_00709_inp_hr,canon,2,0,0.0,0.684,0.7317,0,0
PHercParis4,20260623154006-w085-088,1um_s1z2,142,0,0.0,0.6812,0.8936,43520,191488
PHercParis4,20260623155240-w092-094,1um_s1z2,118,0,0.0,0.6804,0.8729,21760,130560
PHerc0172,20251106133152-w077_20251106133152767_flatboi,other,138,0,0.0,0.6783,0.8805,0,2480
PHerc0139,20260203000000-w032_2026020303,1um_s1z2,6,0,0.0,0.6759,0.7918,8704,0
PHerc1667,20251212185248-w029_20251212185248662_flatboi,1um_s1z2,15,0,0.0,0.6752,0.8719,21760,21760
PHerc0500P2,20250628074500-500P2_front,1um_s1z2,5,0,0.0,0.6727,0.7469,8880,0
PHerc1667,20260116230000-w035_2026011623_flatboi,canon,14,0,0.0,0.6714,0.7923,12288,0
PHerc0172,20251107063327-w063_20251107063327215_flatboi,other,180,0,0.0,0.6711,0.8776,6200,2480
PHerc0500P2,20250611170257-z_dbg_gen_00308_inp_hr,canon,5,0,0.0,0.6698,0.8337,13320,4440
PHerc0500P2,20250611161415-z_dbg_gen_00411_inp_hr,canon,3,0,0.0,0.6697,0.7227,8880,0
PHerc0139,20260316000000-w036_2026031607,canon,20,0,0.0,0.6686,0.8143,12288,16384
PHerc0139,20260317000000-w035_2026031718,1um_s1z2,3,0,0.0,0.6686,0.7129,4352,4352
PHerc0172,20251111210734-w070_20251111210734722_flatboi,other,198,0,0.0,0.6683,0.896,8680,3720
PHerc0172,20251113152136-w074_20251113152136889_flatboi,other,198,0,0.0,0.6633,0.8948,7440,6200
PHerc0172,20250926145427-w084_20250926145427439_flatboi,other,70,0,0.0,0.662,0.871,3720,7440
PHerc1667,20240304161941-w023_20240304161941_flatboi,1um_s1z2,95,0,0.0,0.6617,0.8908,26112,69632
PHerc0172,20251211095724-w056_20251211095724922_flatboi,other,126,0,0.0,0.6603,0.8555,4960,1240
PHerc0172,20251112163527-w071_20251112163527854_flatboi,other,198,0,0.0,0.6591,0.896,6200,0
PHerc0172,20251207123912-w060_20251207123912611_flatboi,other,112,0,0.0,0.6585,0.8791,6200,7440
PHerc0139,20250223000000-w059_2025022312,canon,38,0,0.0,0.6581,0.8869,8192,8192
PHerc0139,20250223000000-w059_2025022312,1um_s1z2,14,0,0.0,0.6541,0.8847,8704,17408
PHerc0139,20260210000000-w058_2026021020,canon,45,0,0.0,0.6536,0.8653,8192,8192
PHerc0172,20251211111451-w055_20251211111451620_flatboi,other,126,0,0.0,0.6533,0.8502,2480,3720
PHerc0172,20251210142414-w059_20251210142414060_flatboi,other,108,0,0.0,0.6525,0.8861,6200,0
PHerc0139,20260316000000-w036_2026031607,1um_s1z2,5,0,0.0,0.6521,0.7989,4352,4352
PHerc0139,20260306000000-w038_2026030608,canon,24,0,0.0,0.6519,0.8054,4096,0
PHerc0172,20251115002742-auto_grown_20251115002740308_2_flatboi,other,680,0,0.0,0.6503,0.8983,7440,33480
PHerc0172,20251211152543-w053_20251211152543204_flatboi,other,112,0,0.0,0.6489,0.8175,6200,0
PHerc0172,20251111151836-w069_20251111151836406_flatboi,other,250,0,0.0,0.6488,0.8824,9920,9920
PHerc0139,20260227000000-w052_2026022705,1um_s1z2,16,0,0.0,0.6449,0.8315,13056,30464
PHerc0814,20250926203608-auto_grown_20250926203608932,canon,6,0,0.0,0.6439,0.813,4096,4096
PHerc0172,20251115002745-auto_grown_20251115002740308_5_flatboi,other,828,0,0.0,0.6388,0.8846,3720,22320
PHerc1667,20251223230000-w031_2025122323_flatboi,1um_s1z2,11,0,0.0,0.6388,0.8066,21760,21760
PHerc0139,20260318000000-w049_20260318,canon,28,0,0.0,0.6387,0.8832,4096,4096
PHerc0814,20250930083742-auto_grown_20250930083742882,1um_s1z2,2,0,0.0,0.6382,0.7154,0,56576
PHerc0172,20251204071911-w091_20251204071911070_flatboi,other,112,0,0.0,0.6371,0.8891,7440,1240
PHercParis4,20260623170833-w124-125,canon,232,0,0.0,0.6363,0.889,24576,114688
PHerc0814,20250925161630-auto_grown_20250925161630635,canon,5,0,0.0,0.6352,0.767,4096,24576
PHerc0172,20251115002747-auto_grown_20251115002740308_7_flatboi,other,692,0,0.0,0.635,0.8705,7440,37200
PHerc0139,20251226000000-w055_2025122611,canon,47,0,0.0,0.6346,0.826,4096,20480
PHercParis4,20260623164704-w116-117,1um_s1z2,53,0,0.0,0.6344,0.8945,21760,26112
PHerc0139,20260310000000-w037_2026031015,canon,20,0,0.0,0.6322,0.8112,4096,0
PHerc0139,20260302000000-w039_2026030210,1um_s1z2,12,0,0.0,0.6315,0.7893,17408,21760
PHerc0172,20251115002748-auto_grown_20251115002740308_8_flatboi,other,514,0,0.0,0.6312,0.8614,7440,4960
PHerc0139,20260306000001-w051_2026030600,1um_s1z2,16,0,0.0,0.63,0.7911,8704,8704
PHerc0172,20251115002746-auto_grown_20251115002740308_6_flatboi,other,522,0,0.0,0.6268,0.8921,0,17360
PHerc0139,20260219000001-w048_2026021912,canon,28,0,0.0,0.6222,0.8081,0,0
PHerc0139,20260303000000-w034_2026030317,1um_s1z2,6,0,0.0,0.6218,0.8308,8704,21760
PHerc0814,20250928235953-auto_grown_20250928235953722,canon,15,0,0.0,0.6206,0.7937,4096,12288
PHerc1667,20251208130119-w028_20251208130119156_flatboi,1um_s1z2,22,0,0.0,0.6181,0.8188,17408,4352
PHerc1667,20251220020000-w030_2025122002_flatboi,1um_s1z2,16,0,0.0,0.6177,0.8529,21760,21760
PHerc1667,20251208130119-w028_20251208130119156_flatboi,canon,43,0,0.0,0.6139,0.8846,24576,8192
PHerc0814,20250925161630-auto_grown_20250925161630635,1um_s1z2,2,0,0.0,0.6136,0.6767,4352,30464
PHerc0139,20260302000000-w039_2026030210,canon,30,0,0.0,0.6081,0.8058,12288,8192
PHerc0172,20251212105627-w052_20251212105627148_flatboi,other,112,0,0.0,0.604,0.8973,4960,3720
PHerc0139,20260302000001-w050_2026030220,1um_s1z2,2,0,0.0,0.6026,0.6474,4352,4352
PHerc0139,20260115000001-w056_2026011514,canon,37,0,0.0,0.602,0.8739,16384,28672
PHerc0139,20260206000002-w054_2026020617,canon,53,0,0.0,0.6008,0.8296,4096,16384
PHerc0172,20251204101314-w092_20251204101314959_flatboi,other,120,0,0.0,0.5966,0.8705,9920,7440
PHerc0139,20260206000002-w054_2026020617,1um_s1z2,17,0,0.0,0.5958,0.7506,8704,30464
PHerc0139,20250108000003-w028_2025010836,canon,25,0,0.0,0.5956,0.7794,4096,12288
