scroll,segment,recipe,pitch_um,y0,x0,jpg,area,requant,q50
PHercParis4,20231031143852,1um_s1z2,2.258,21760,8704,0.9045,0.9038,0.9045,0.9015
PHercParis4,20231031143852,1um_s1z2,2.258,21760,13056,0.9147,0.9142,0.9148,0.9143
PHercParis4,20231031143852,1um_s1z2,2.258,21760,17408,0.9267,0.927,0.9269,0.9271
PHercParis4,20231031143852,1um_s1z2,2.258,21760,21760,0.9193,0.9195,0.9197,0.9197
PHercParis4,20231031143852,1um_s1z2,2.258,21760,26112,0.7754,0.7752,0.7755,0.7755
PHercParis4,20231031143852,1um_s1z2,2.258,21760,30464,0.5791,0.5791,0.5791,0.5794
PHercParis4,20231031143852,1um_s1z2,2.258,21760,34816,0.8811,0.881,0.8807,0.8813
PHercParis4,20231031143852,1um_s1z2,2.258,26112,8704,0.9179,0.9173,0.9178,0.9175
PHercParis4,20231031143852,1um_s1z2,2.258,26112,13056,0.8143,0.8139,0.8145,0.814
PHercParis4,20231031143852,1um_s1z2,2.258,26112,17408,0.8046,0.8051,0.8051,0.8053
PHercParis4,20231031143852,1um_s1z2,2.258,26112,21760,0.9241,0.9243,0.9245,0.9244
PHercParis4,20231031143852,1um_s1z2,2.258,26112,26112,0.7614,0.7613,0.7615,0.7614
PHercParis4,20231031143852,1um_s1z2,2.258,26112,30464,0.589,0.5893,0.5894,0.5894
PHercParis4,20231031143852,1um_s1z2,2.258,26112,34816,0.9041,0.9044,0.9044,0.9044
PHerc0139,20250108000000-w025,canon,2.399,0,0,0.6802,0.681,0.6809,0.6815
PHerc0139,20250108000000-w025,canon,2.399,0,4096,0.8189,0.8195,0.8194,0.8198
PHerc0139,20250108000000-w025,canon,2.399,0,8192,0.3032,0.3033,0.3273,0.3031
PHerc0139,20250108000000-w025,canon,2.399,0,12288,0.1526,0.1527,0.1725,0.1525
PHerc0139,20250108000000-w025,canon,2.399,0,16384,0.8472,0.8477,0.8476,0.8477
PHerc0139,20250108000000-w025,canon,2.399,4096,0,0.2932,0.2942,0.2941,0.2943
PHerc0139,20250108000000-w025,canon,2.399,4096,4096,0.6835,0.6846,0.6845,0.6844
PHerc0139,20250108000000-w025,canon,2.399,4096,8192,0.7865,0.7871,0.7869,0.787
