key,scroll,segment,recipe,iy,ix,wpx_fine,wpx_coarse,thresh_fine,thresh_coarse,fine,coarse,ncomp_fine,ncomp_coarse,ext_fine,ext_coarse,frac_fine,frac_coarse
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,6,1024,311,116,115,0.6755,0.6936,97,92,441.4,443.0,0.074,0.074
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,7,1024,311,116,115,0.7216,0.7296,100,88,383.8,443.0,0.0777,0.0776
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,8,1024,311,116,115,0.7157,0.7056,111,98,441.4,506.2,0.0979,0.0988
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,9,1024,311,116,115,0.6672,0.6725,112,103,518.2,569.5,0.0926,0.0928
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,10,1024,311,116,115,0.6445,0.6411,119,111,518.2,506.2,0.0878,0.0885
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,11,1024,311,116,115,0.5921,0.5824,98,92,499.0,569.5,0.0667,0.0683
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,12,1024,311,116,115,0.4846,0.4904,77,75,422.2,443.0,0.0382,0.0388
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,13,1024,311,116,115,0.6096,0.6135,109,106,364.6,379.7,0.058,0.0577
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,14,1024,311,116,115,0.6749,0.6768,119,114,460.6,443.0,0.0825,0.0832
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,15,1024,311,116,115,0.7517,0.7428,119,116,518.2,506.2,0.115,0.1149
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,16,1024,311,116,115,0.7169,0.7032,121,115,537.4,569.5,0.1121,0.1115
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,1,17,1024,311,116,115,0.6032,0.5851,106,107,412.6,443.0,0.071,0.0715
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,0,1024,311,116,115,0.9373,0.9388,47,44,882.8,885.9,0.1372,0.1376
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,1,1024,311,116,115,0.9689,0.9749,33,30,1209.1,1582.0,0.1622,0.163
