key,scroll,segment,recipe,n_windows,scroll_base_rate,p_zero_by_chance,significant,max_score
PHerc0172/segments/20251113130119-w073_20251113130119516_flatboi/ink-detection/downsampled/PHerc0172-20251113130119-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113130119-w073_20251113130119516_flatboi,other,30,0.00539,0.8503,0,0.8705
PHerc0172/segments/20251113204233-w075_20251113204233755_flatboi/ink-detection/downsampled/PHerc0172-20251113204233-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113204233-w075_20251113204233755_flatboi,other,30,0.00539,0.8503,0,0.8478
PHerc0172/segments/20251111010954-w068_20251111010954408_flatboi/ink-detection/downsampled/PHerc0172-20251111010954-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251111010954-w068_20251111010954408_flatboi,other,30,0.00539,0.8503,0,0.8453
PHerc0172/segments/20251107063327-w063_20251107063327215_flatboi/ink-detection/downsampled/PHerc0172-20251107063327-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251107063327-w063_20251107063327215_flatboi,other,30,0.00539,0.8503,0,0.8776
PHerc0172/segments/20251112163527-w071_20251112163527854_flatboi/ink-detection/downsampled/PHerc0172-20251112163527-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251112163527-w071_20251112163527854_flatboi,other,30,0.00539,0.8503,0,0.896
PHerc0172/segments/20251113021010-w072_20251113021010674_flatboi/ink-detection/downsampled/PHerc0172-20251113021010-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113021010-w072_20251113021010674_flatboi,other,30,0.00539,0.8503,0,0.8767
PHerc0172/segments/20251113152136-w074_20251113152136889_flatboi/ink-detection/downsampled/PHerc0172-20251113152136-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113152136-w074_20251113152136889_flatboi,other,30,0.00539,0.8503,0,0.8768
PHerc0172/segments/20251107063327-w063_20251107063327215_flatboi/ink-detection/downsampled/PHerc0172-20251107063327-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251107063327-w063_20251107063327215_flatboi,other,30,0.00539,0.8503,0,0.8144
PHerc0172/segments/20251111210734-w070_20251111210734722_flatboi/ink-detection/downsampled/PHerc0172-20251111210734-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251111210734-w070_20251111210734722_flatboi,other,30,0.00539,0.8503,0,0.896
PHerc0172/segments/20251111210734-w070_20251111210734722_flatboi/ink-detection/downsampled/PHerc0172-20251111210734-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251111210734-w070_20251111210734722_flatboi,other,30,0.00539,0.8503,0,0.8596
PHerc0172/segments/20251112163527-w071_20251112163527854_flatboi/ink-detection/downsampled/PHerc0172-20251112163527-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251112163527-w071_20251112163527854_flatboi,other,30,0.00539,0.8503,0,0.8102
PHerc0172/segments/20250917143559-w062_20250917143559205_flatboi/ink-detection/downsampled/PHerc0172-20250917143559-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20250917143559-w062_20250917143559205_flatboi,other,28,0.00539,0.85955,0,0.8754
PHerc0172/segments/20250917143559-w062_20250917143559205_flatboi/ink-detection/downsampled/PHerc0172-20250917143559-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250917143559-w062_20250917143559205_flatboi,other,28,0.00539,0.85955,0,0.845
PHerc0172/segments/20251107175958-w061_20251107175958270_flatboi/ink-detection/downsampled/PHerc0172-20251107175958-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251107175958-w061_20251107175958270_flatboi,other,25,0.00539,0.8736,0,0.8885
PHerc0172/segments/20251107175958-w061_20251107175958270_flatboi/ink-detection/downsampled/PHerc0172-20251107175958-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251107175958-w061_20251107175958270_flatboi,other,25,0.00539,0.8736,0,0.8141
PHerc0172/segments/20250926113336-w079_20250926113336891_flatboi/ink-detection/downsampled/PHerc0172-20250926113336-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926113336-w079_20250926113336891_flatboi,other,24,0.00539,0.87833,0,0.8966
PHerc0172/segments/20251106133152-w077_20251106133152767_flatboi/ink-detection/downsampled/PHerc0172-20251106133152-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251106133152-w077_20251106133152767_flatboi,other,23,0.00539,0.88309,0,0.8805
PHerc0172/segments/20251106133152-w077_20251106133152767_flatboi/ink-detection/downsampled/PHerc0172-20251106133152-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251106133152-w077_20251106133152767_flatboi,other,23,0.00539,0.88309,0,0.8124
PHerc0172/segments/20250926122938-w082_20250926122938619_flatboi/ink-detection/downsampled/PHerc0172-20250926122938-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20250926122938-w082_20250926122938619_flatboi,other,22,0.00539,0.88788,0,0.8778
PHerc0172/segments/20250926132117-w083_20250926132117595_flatboi/ink-detection/downsampled/PHerc0172-20250926132117-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926132117-w083_20250926132117595_flatboi,other,22,0.00539,0.88788,0,0.8375
PHerc0172/segments/20250926122938-w082_20250926122938619_flatboi/ink-detection/downsampled/PHerc0172-20250926122938-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926122938-w082_20250926122938619_flatboi,other,22,0.00539,0.88788,0,0.8321
PHerc0172/segments/20251210153304-w058_20251210153304503_flatboi/ink-detection/downsampled/PHerc0172-20251210153304-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251210153304-w058_20251210153304503_flatboi,other,20,0.00539,0.89753,0,0.8777
PHerc0172/segments/20251210160810-w057_20251210160810301_flatboi/ink-detection/downsampled/PHerc0172-20251210160810-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251210160810-w057_20251210160810301_flatboi,other,20,0.00539,0.89753,0,0.8456
PHerc0172/segments/20251211095724-w056_20251211095724922_flatboi/ink-detection/downsampled/PHerc0172-20251211095724-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251211095724-w056_20251211095724922_flatboi,other,20,0.00539,0.89753,0,0.8555
PHerc0172/segments/20251106170358-w076_20251106170358232_flatboi/ink-detection/downsampled/PHerc0172-20251106170358-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251106170358-w076_20251106170358232_flatboi,other,20,0.00539,0.89753,0,0.8851
PHerc0172/segments/20251211135303-w054_20251211135303394_flatboi/ink-detection/downsampled/PHerc0172-20251211135303-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211135303-w054_20251211135303394_flatboi,other,20,0.00539,0.89753,0,0.8099
PHerc0172/segments/20251211152543-w053_20251211152543204_flatboi/ink-detection/downsampled/PHerc0172-20251211152543-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251211152543-w053_20251211152543204_flatboi,other,20,0.00539,0.89753,0,0.8175
